"lat";"long";"accuracy";"formatted_address";"index";"tipo";"default"
"-30.0792094";"-51.1939683";"street_address";"R. Cap. Padilha, 1 - Cascata, Porto Alegre - RS, Brazil";1;"BAR/CAFE/LANCHERIA";"R CAPITAO PADILHA, 596/1"
"-30.0649945";"-51.232824";"street_address";"Av. Padre Cacique, 658 - Praia de Belas, Porto Alegre - RS, 90810-240, Brazil";2;"PECAS E ACESSORIOS PARA VEICULOS";"AV PADRE CACIQUE, 658/1"
"-30.052585";"-51.2180357";"street_address";"R. Barão do Triunfo, 375 - Azenha, Porto Alegre - RS, 90130-101, Brazil";3;"MINI-MERCADO";"R BARAO DO TRIUNFO, 375"
"-30.1076";"-51.2279686";"street_address";"Av. da Cavalhada, 3623 - Cavalhada, Porto Alegre - RS, 91740-001, Brazil";4;"RELOJOARIA";"AV CAVALHADA, 3623"
"-30.008501";"-51.20433";"street_address";"Av. São Paulo, 636 - São Geraldo, Porto Alegre - RS, 90230-160, Brazil";5;"PECAS E ACESSORIOS PARA VEICULOS";"AV SAO PAULO, 636/302"
"-30.0341344";"-51.2361143";"street_address";"R. Duque de Caxias, 518 - Centro Histórico, Porto Alegre - RS, 90010-280, Brazil";6;"LOJA DE ACESSORIOS PARA ANIMAIS";"R DUQUE DE CAXIAS, 518"
"-30.1023849";"-51.2369347";"street_address";"Tv. Escobar, 168 - Camaquã, Porto Alegre - RS, 91910-400, Brazil";7;"COSMETICOS E OU PRODUTOS PARA SALAO DE BELEZA";"TRAV ESCOBAR, 168"
NA;NA;NA;"AV PROTASIO ALVES 8619/206 ZONA INDEFIN. 4 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";8;"SUPRIMENTO P/ COMPUTADORES E MATERIAIS INFORMATICA";"AV PROTASIO ALVES, 8619/206"
"-30.1037562";"-51.2535685";"street_address";"Av. Pereira Passos, 1141 - Vila Assunção, Porto Alegre - RS, 91900-240, Brazil";9;"CONFEITARIA/BOMBONIERE";"AV PEREIRA PASSOS, 1141/6"
"-30.1496211";"-51.2164781";"street_address";"Av. da Serraria, 584 - Espírito Santo, Porto Alegre - RS, 91770-010, Brazil";10;"TAPECARIA";"AV SERRARIA, 584"
NA;NA;NA;"AV MANOEL ELIAS 544 ZONA INDEFIN. 4 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";11;"ALIMENTOS";"AV MANOEL ELIAS, 544"
"-30.028557";"-51.2254947";"street_address";"Av. Otávio Rocha, 116 - Centro Histórico, Porto Alegre - RS, 90020-150, Brazil";12;"OTICAS";"AV OTAVIO ROCHA, 116/42"
"-30.0325809";"-51.209783";"street_address";"R. Felipe Camarão, 367 - Rio Branco, Porto Alegre - RS, 90460-100, Brazil";13;"FERRAGEM";"R FELIPE CAMARAO, 367"
"-30.1581643";"-51.190184";"street_address";"Av. Edgar Píres de Castro, 100 - Campo Novo, Porto Alegre - RS, Brazil";14;"PECAS E ACESSORIOS PARA VEICULOS";"AV EDGAR PIRES DE CASTRO, 100/2"
"-30.00924";"-51.180198";"street_address";"R. Gen. João de Deus Martins, 50 - Passo d'Areia, Porto Alegre - RS, 90520-110, Brazil";15;"TAPECARIA";"R GEN JOAO DE DEUS MARTINS, 50"
"-30.0031211";"-51.1347746";"street_address";"Av. Assis Brasil, 5379 - Sarandi, Porto Alegre - RS, 91010-004, Brazil";16;"RESTAURANTE E PIZZARIA SEM FORNO A LENHA";"AV ASSIS BRASIL, 5379"
"-30.0551193";"-51.1617256";"street_address";"Av. Ipiranga, 7640 - Jardim Botânico, Porto Alegre - RS, 91530-000, Brazil";17;"LOJA DE MOVEIS";"AV IPIRANGA, 7640/4"
"-30.1363332";"-51.2263465";"street_address";"R. Comendador Castro, 367 - Ipanema, Porto Alegre - RS, 91760-200, Brazil";18;"ARTIGOS DO VESTUARIO";"R COMENDADOR CASTRO, 367/4"
"-30.1146281";"-51.2547751";"premise";"Av. Wenceslau Escobar, 2997 - Cristal, Porto Alegre - RS, 91900-000, Brazil";19;"BAR/CAFE/LANCHERIA";"AV WENCESLAU ESCOBAR, 2997"
"-30.0065516";"-51.1916988";"street_address";"Rua Pereira Franco, 74 - São João, Porto Alegre - RS, Brazil";20;"VEICULOS";"R PEREIRA FRANCO, 74"
"-30.0031211";"-51.1347746";"street_address";"Av. Assis Brasil, 5379 - Sarandi, Porto Alegre - RS, 91010-004, Brazil";21;"RESTAURANTE";"AV ASSIS BRASIL, 5379"
"-30.1047395";"-51.2383293";"street_address";"Av. Otto Niemeyer, 2103 - Tristeza, Porto Alegre - RS, 91910-000, Brazil";22;"PAPELARIA";"AV OTTO NIEMEYER, 2103"
"-30.0569338";"-51.1897622";"street_address";"R. Bento de Amaral, 140 - Partenon, Porto Alegre - RS, 90680-040, Brazil";23;"PADARIA SEM UTILIZACAO DE FORNO A LENHA";"R BENTO DE AMARAL, 140"
"-30.1104122";"-51.2527235";"street_address";"Av. Otto Niemeyer, 601 - Tristeza, Porto Alegre - RS, 91910-001, Brazil";24;"ARTIGOS DO VESTUARIO";"AV OTTO NIEMEYER, 601/13"
"-30.0017582";"-51.2063307";"street_address";"R. Voluntários da Pátria, 3777 - Centro Histórico, Porto Alegre - RS, 90030-002, Brazil";25;"MAQUINAS,APARELHOS,EQUIPAMENTOS DIVERSOS";"R VOLUNTARIOS DA PATRIA, 3777/111"
NA;NA;NA;"R TANAUI DA SILVA BOEIRA 16 LOMBA PINHEIRO Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";26;"LOJA DE MOVEIS USADOS";"R TANAUI DA SILVA BOEIRA, 16"
"-30.0081696";"-51.1938818";"street_address";"Av. Ceará, 1390 - São João, Porto Alegre - RS, 90240-511, Brazil";27;"MAQUINAS,APARELHOS,EQUIPAMENTOS DIVERSOS";"AV CEARA, 1390"
"-30.0540734";"-51.2182322";"street_address";"Av. Erico Veríssimo, 980 - Menino Deus, Porto Alegre - RS, 90160-180, Brazil";28;"MAQUINAS,APARELHOS,EQUIPAMENTOS DIVERSOS";"AV ERICO VERISSIMO, 980/2"
"-30.015914";"-51.198067";"street_address";"R. Olinda, 455 - Floresta, Porto Alegre - RS, 90240-570, Brazil";29;"SUPRIMENTO P/ COMPUTADORES E MATERIAIS INFORMATICA";"R OLINDA, 455"
"-30.0177823";"-51.1406267";"street_address";"Av. Professora Paula Soares, 815 - Jardim Itu-Sabará, Porto Alegre - RS, 91220-450, Brazil";30;"LOJA DE MAQUINAS E IMPLEMENTOS AGRICOLAS";"AV PROF PAULA SOARES, 815"
"-30.0565396";"-51.1903687";"street_address";"R. Barão do Amazonas, 1485 - Jardim Botânico, Porto Alegre - RS, 90670-002, Brazil";31;"LOJA DE CONFECCOES";"R BARAO DO AMAZONAS, 1485/3"
"-29.9926387";"-51.144115";"street_address";"R. Sérgio Jungblut Dieterich, 900 - Sarandi, Porto Alegre - RS, 91060-410, Brazil";32;"MAQUINAS,APARELHOS,EQUIPAMENTOS DIVERSOS";"R SERGIO JUNGBLUT DIETERICH, 900/21"
